,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
85,AF158101,Unassigned,Unassigned,Unassigned,289_80,Clustered,11,VC_289_80,11,0.0294,1.0,0.0294,0,0,0,1.0
86,AF158600,Unassigned,Unassigned,Unassigned,259_0,Clustered,46,VC_259_0,46,0.5207,1.0,0.5207,0,0,0,1.0
87,AF176025,Unassigned,Unassigned,Unassigned,266_0,Clustered,13,VC_266_0,13,0.3743,1.0,0.3743,0,0,0,1.0
88,AF176027,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
89,AF176028,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
90,AF176029,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
91,AF176030,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
92,AF176031,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
93,AF176032,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
94,AF176033,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
95,AF176034,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
96,AF189021,Unassigned,Unassigned,Unassigned,305_0,Clustered,11,VC_305_0,11,0.7864,1.0,0.7864,0,0,0,1.0
97,AF191797,Unassigned,Unassigned,Unassigned,307_0,Clustered,2,VC_307_0,2,1.0,0.0,0.0,0,0,0,1.0
98,AF195902,Unassigned,Unassigned,Unassigned,275_0,Clustered,4,VC_275_0,4,0.5115,0.99993904,0.5115,0,0,0,1.0
99,AF217253,Unassigned,Unassigned,Unassigned,31_0,Clustered,48,VC_31_0,48,0.6892,1.0,0.6892,0,0,0,0.9858
100,AF222060,Unassigned,Unassigned,Unassigned,310_0,Clustered,33,VC_310_0,33,0.8784,1.0,0.8784,0,0,0,1.0
101,AF227250,Unassigned,Unassigned,Unassigned,315_0,Clustered,12,VC_315_0,12,0.8943,1.0,0.8943,0,0,0,1.0
102,AF232233,Unassigned,Unassigned,Unassigned,185_0,Clustered,22,VC_185_0,22,0.6495,1.0,0.6495,0,0,0,1.0
103,AF234172,Unassigned,Unassigned,Unassigned,87_0,Clustered,13,VC_87_0,13,0.9067,1.0,0.9067,0,0,0,0.9615
104,AF234173,Unassigned,Unassigned,Unassigned,87_0,Clustered,13,VC_87_0,13,0.9067,1.0,0.9067,0,0,0,0.9615
105,AF271693,Unassigned,Unassigned,Unassigned,327_18,Clustered,4,VC_327_18,4,0.0117,0.99989503,0.0117,0,0,0,0.6667
106,AF274751,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
107,AF299300,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
108,AF299301,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
109,AF299302,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
110,AF299303,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
111,AF299304,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
112,AF299305,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
113,AF299306,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
114,AF299307,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
115,AF299308,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
116,AF299309,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
117,AF299310,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
118,AF299311,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
119,AF299312,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
120,AF299313,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
121,AF299314,Unassigned,Unassigned,Unassigned,304_0,Clustered,156,VC_304_0,156,0.9978,1.0,0.9978,0,0,0,1.0
122,AF301375,Unassigned,Unassigned,Unassigned,238_0,Clustered,2,VC_238_0,2,0.9279,0.33333333,0.3093,0,0,0,1.0
123,AF306496,Unassigned,Unassigned,Unassigned,329_0,Clustered,13,VC_329_0,13,0.936,0.99999997,0.936,0,0,0,1.0
124,AF320576,Unassigned,Unassigned,Unassigned,331_5,Clustered,17,VC_331_5,17,0.0909,1.0,0.0909,0,0,0,0.8235
125,AF323668,Unassigned,Unassigned,Unassigned,269_0,Clustered,7,VC_269_0,7,0.2281,1.0,0.2281,0,0,0,1.0
126,AF323669,Unassigned,Unassigned,Unassigned,266_0,Clustered,13,VC_266_0,13,0.3743,1.0,0.3743,0,0,0,1.0
127,AF323671,Unassigned,Unassigned,Unassigned,343_0,Clustered,9,VC_343_0,9,0.9407,0.99999542,0.9407,0,0,0,1.0
128,AF334111,Unassigned,Unassigned,Unassigned,235_0,Clustered,2,VC_235_0,2,0.3333,0.0,0.0,0,0,0,1.0
129,AF335538,Unassigned,Unassigned,Unassigned,33_1,Clustered,16,VC_33_1,16,0.2022,1.0,0.2022,0,0,0,0.8333
130,AF338467,Unassigned,Unassigned,Unassigned,344_0,Clustered,31,VC_344_0,31,0.9506,1.0,0.9506,0,0,0,1.0
131,AF399011,Unassigned,Unassigned,Unassigned,350_0,Clustered,15,VC_350_0,15,0.441,1.0,0.441,0,0,0,1.0
132,AF424781,Unassigned,Unassigned,Unassigned,12_0,Clustered,33,VC_12_0,33,0.4632,1.0,0.4632,0,0,0,1.0
133,AF424782,Unassigned,Unassigned,Unassigned,9_0,Clustered,43,VC_9_0,43,0.8225,1.0,0.8225,0,0,0,1.0
134,AF424783,Unassigned,Unassigned,Unassigned,8_0,Clustered,26,VC_8_0,26,0.393,1.0,0.393,0,0,0,0.9969
135,AF440571,Unassigned,Unassigned,Unassigned,357_0,Clustered,7,VC_357_0,7,0.9368,0.99999993,0.9368,0,0,0,1.0
136,AF440695,Unassigned,Unassigned,Unassigned,360_0,Clustered,3,VC_360_0,3,0.7266,0.98333333,0.7145,0,0,0,1.0
137,AF447491,Unassigned,Unassigned,Unassigned,361_0,Clustered,5,VC_361_0,5,0.5714,0.99999988,0.5714,0,0,0,1.0
138,AF448724,Unassigned,Unassigned,Unassigned,363_0,Clustered,3,VC_363_0,3,0.0915,0.99659536,0.0912,0,0,0,1.0
139,AF452449,Unassigned,Unassigned,Unassigned,16_0,Clustered,12,VC_16_0,12,0.668,1.0,0.668,0,0,0,1.0
140,AF453500,Unassigned,Unassigned,Unassigned,16_0,Clustered,12,VC_16_0,12,0.668,1.0,0.668,0,0,0,1.0
141,AF454431,Unassigned,Unassigned,Unassigned,365_0,Clustered,358,VC_365_0,358,0.9633,1.0,0.9633,0,0,0,1.0
142,AF489521,Unassigned,Unassigned,Unassigned,266_0,Clustered,13,VC_266_0,13,0.3743,1.0,0.3743,0,0,0,1.0
143,AF493143,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
144,AF503408,Unassigned,Unassigned,Unassigned,87_0,Clustered,13,VC_87_0,13,0.9067,1.0,0.9067,0,0,0,0.9615
145,AF513032,Unassigned,Unassigned,Unassigned,103_0,Clustered,30,VC_103_0,30,0.7369,1.0,0.7369,0,0,0,1.0
146,AF513033,Unassigned,Unassigned,Unassigned,103_0,Clustered,30,VC_103_0,30,0.7369,1.0,0.7369,0,0,0,1.0
147,AF527608,Unassigned,Unassigned,Unassigned,31_0,Clustered,48,VC_31_0,48,0.6892,1.0,0.6892,0,0,0,0.9858
148,AF547430,Unassigned,Unassigned,Unassigned,374_2,Clustered,25,VC_374_2,25,0.0793,1.0,0.0793,0,0,0,0.7033
149,AF547987,Unassigned,Unassigned,Unassigned,33_1,Clustered,16,VC_33_1,16,0.2022,1.0,0.2022,0,0,0,0.8333
150,AFYI01000003,Unassigned,Unassigned,Unassigned,377_0,Clustered/Singleton,1,VC_377_0,1,0.0,0.0,0.0,0,0,0,1.0
151,AFYI01000005,Unassigned,Unassigned,Unassigned,379_0,Clustered,2,VC_379_0,2,0.7554,0.85714286,0.6475,0,0,0,1.0
152,AFYI01000006,Unassigned,Unassigned,Unassigned,386_0,Clustered/Singleton,1,VC_386_0,1,0.0,0.0,0.0,0,0,0,1.0
153,AFYI01000007,Unassigned,Unassigned,Unassigned,380_0,Clustered/Singleton,1,VC_380_0,1,0.0,0.0,0.0,0,0,0,1.0
154,AGRM01000003,Unassigned,Unassigned,Unassigned,377_1,Clustered/Singleton,1,VC_377_1,1,0.0,0.0,0.0,0,0,0,1.0
155,AGRM01000004,Unassigned,Unassigned,Unassigned,379_0,Clustered,2,VC_379_0,2,0.7554,0.85714286,0.6475,0,0,0,1.0
156,AGRM01000005,Unassigned,Unassigned,Unassigned,380_1,Clustered/Singleton,1,VC_380_1,1,0.0,0.0,0.0,0,0,0,1.0
157,AJ006589,Unassigned,Unassigned,Unassigned,407_0,Clustered,10,VC_407_0,10,0.7478,1.0,0.7478,0,0,0,1.0
158,AJ131519,Unassigned,Unassigned,Unassigned,302_0,Clustered,2,VC_302_0,2,0.3952,0.90349528,0.3571,0,0,0,1.0
159,AJ242593,Unassigned,Unassigned,Unassigned,411_0,Clustered,9,VC_411_0,9,0.7503,1.0,0.7503,0,0,0,1.0
160,AJ245616,Unassigned,Unassigned,Unassigned,266_0,Clustered,13,VC_266_0,13,0.3743,1.0,0.3743,0,0,0,1.0
161,AJ251789,Unassigned,Unassigned,Unassigned,278_0,Clustered,11,VC_278_0,11,0.4989,1.0,0.4989,0,0,0,0.8727
162,AJ251805,Unassigned,Unassigned,Unassigned,417_0,Clustered,37,VC_417_0,37,0.8419,1.0,0.8419,0,0,0,1.0
163,AJ278322,Unassigned,Unassigned,Unassigned,440_0,Clustered,3,VC_440_0,3,0.3329,0.99649548,0.3317,0,0,0,1.0
164,AJ298298,Unassigned,Unassigned,Unassigned,50_0,Clustered,12,VC_50_0,12,0.397,1.0,0.397,0,0,0,1.0
165,AJ302074,Unassigned,Unassigned,Unassigned,446_0,Clustered,39,VC_446_0,39,0.8472,1.0,0.8472,0,0,0,1.0
166,AJ312240,Unassigned,Unassigned,Unassigned,23_0,Clustered,5,VC_23_0,5,0.4405,0.99999988,0.4405,0,0,0,0.9
167,AJ318471,Unassigned,Unassigned,Unassigned,417_0,Clustered,37,VC_417_0,37,0.8419,1.0,0.8419,0,0,0,1.0
168,AJ344259,Unassigned,Unassigned,Unassigned,356_0,Clustered,19,VC_356_0,19,0.9513,1.0,0.9513,0,0,0,1.0
169,AJ414696,Unassigned,Unassigned,Unassigned,356_0,Clustered,19,VC_356_0,19,0.9513,1.0,0.9513,0,0,0,1.0
170,AJ421943,Unassigned,Unassigned,Unassigned,279_0,Clustered,2,VC_279_0,2,0.0801,0.90729014,0.0726,0,0,0,1.0
171,AJ505558,Unassigned,Unassigned,Unassigned,455_0,Clustered,38,VC_455_0,38,0.9392,1.0,0.9392,0,0,0,1.0
172,AJ536073,Unassigned,Unassigned,Unassigned,456_0,Clustered,7,VC_456_0,7,0.9046,0.9996286,0.9043,0,0,0,1.0
173,AJ550940,Unassigned,Unassigned,Unassigned,407_0,Clustered,10,VC_407_0,10,0.7478,1.0,0.7478,0,0,0,1.0
174,AJ556162,Unassigned,Unassigned,Unassigned,46_0,Clustered,10,VC_46_0,10,0.1222,1.0,0.1222,0,0,0,0.8444
175,AJ560763,Unassigned,Unassigned,Unassigned,458_0,Clustered,2,VC_458_0,2,0.167,0.91243834,0.1524,0,0,0,1.0
176,AJ604530,Unassigned,Unassigned,Unassigned,197_0,Clustered,2,VC_197_0,2,0.0105,0.87855685,0.0093,0,0,0,1.0
177,AJ604531,Unassigned,Unassigned,Unassigned,197_0,Clustered,2,VC_197_0,2,0.0105,0.87855685,0.0093,0,0,0,1.0
178,AJ609634,Unassigned,Unassigned,Unassigned,144_0,Clustered,3,VC_144_0,3,0.1379,0.99705191,0.1375,0,0,0,1.0
179,AJ630128,Unassigned,Unassigned,Unassigned,464_5,Clustered,2,VC_464_5,2,0.0175,0.87232804,0.0153,0,0,0,1.0
180,AJ635161,Unassigned,Unassigned,Unassigned,471_0,Clustered,4,VC_471_0,4,1.0,0.0,0.0,0,0,0,1.0
181,AJ697969,Unassigned,Unassigned,Unassigned,472_7,Clustered,2,VC_472_7,2,0.0392,0.90501024,0.0355,0,0,0,1.0
182,AJ748296,Unassigned,Unassigned,Unassigned,356_0,Clustered,19,VC_356_0,19,0.9513,1.0,0.9513,0,0,0,1.0
183,AJ783769,Unassigned,Unassigned,Unassigned,474_0,Clustered,2,VC_474_0,2,0.8145,0.33333333,0.2715,0,0,0,1.0
184,AJ854042,Unassigned,Unassigned,Unassigned,358_0,Clustered,2,VC_358_0,2,0.3254,0.8773089,0.2855,0,0,0,1.0
185,AJ875026,Unassigned,Unassigned,Unassigned,356_0,Clustered,19,VC_356_0,19,0.9513,1.0,0.9513,0,0,0,1.0
186,AJ888457,Unassigned,Unassigned,Unassigned,477_0,Clustered,3,VC_477_0,3,0.8281,0.99705882,0.8257,0,0,0,1.0
187,AJ969242,Unassigned,Unassigned,Unassigned,282_0,Clustered,2,VC_282_0,2,1.0,0.0,0.0,0,0,0,1.0
188,AM076770,Unassigned,Unassigned,Unassigned,480_0,Clustered,16,VC_480_0,16,0.9568,1.0,0.9568,0,0,0,1.0
189,AM084414,Unassigned,Unassigned,Unassigned,481_0,Clustered,79,VC_481_0,79,0.9991,1.0,0.9991,0,0,0,1.0
190,AM084415,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
191,AM087120,Unassigned,Unassigned,Unassigned,357_0,Clustered,7,VC_357_0,7,0.9368,0.99999993,0.9368,0,0,0,1.0
192,AM087121,Unassigned,Unassigned,Unassigned,357_0,Clustered,7,VC_357_0,7,0.9368,0.99999993,0.9368,0,0,0,1.0
193,AM087122,Unassigned,Unassigned,Unassigned,357_0,Clustered,7,VC_357_0,7,0.9368,0.99999993,0.9368,0,0,0,1.0
194,AM087123,Unassigned,Unassigned,Unassigned,357_0,Clustered,7,VC_357_0,7,0.9368,0.99999993,0.9368,0,0,0,1.0
195,AM156909,Unassigned,Unassigned,Unassigned,486_0,Clustered,59,VC_486_0,59,0.9077,1.0,0.9077,0,0,0,1.0
196,AM183667,Unassigned,Unassigned,Unassigned,419_0,Clustered,48,VC_419_0,48,0.7806,1.0,0.7806,0,0,0,1.0
