id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
TC30_NODE_2_length_2539971_cov_38.752415_fragment_26_1	18	4	68484	0	100.00%	99%
TC25_k99_8082_fragment_1	18	4	35808	0	100.00%	51%
TC25_k99_6391_fragment_1_1	18	4	31129	0	100.00%	45%
TC11_NODE_130_length_130617_cov_3.151935_fragment_1_1	19	1	67942	1	100	100%
TC10_NODE_15_length_430127_cov_162.451031_fragment_3_1	20	1	67906	1	100	100%
TC13_NODE_5_length_893776_cov_11.053438_fragment_12	21	3	67609	1	100	100%
TC6_NODE_6_length_893776_cov_98.813834_fragment_12	21	3	67609	0	100.00%	100%
TC50_NODE_2_length_837294_cov_3.893024_fragment_1	21	3	54807	0	100.00%	81%
TC23_NODE_85_length_158508_cov_121.493317_fragment_2_1	22	1	66063	1	100	100%
TC31_NODE_16_length_621533_cov_2.524435_fragment_1	23	1	64292	1	100	100%
TC39_NODE_17_length_560322_cov_15.182160_fragment_6	24	1	63730	1	100	100%
TC25_k99_1760_fragment_1	25	2	62592	1	100	100%
TC29_NODE_27_length_629482_cov_7.261345_fragment_1	25	2	62592	0	100.00%	100%
TC44_NODE_108_length_144333_cov_27.927368_fragment_1	26	1	61167	1	100	100%
TC31_NODE_32_length_459097_cov_10.645759_fragment_1_1	27	1	60979	1	100	100%
TC25_k99_4506_1	28	2	60167	1	100	100%
TC29_NODE_70_length_349779_cov_17.321517_fragment_1	28	2	56356	0	100.00%	93%
TC24_NODE_44_length_384373_cov_2.324318_fragment_2_1	29	1	59837	1	100	100%
TC22_k99_20104_fragment_11	30	1	59193	1	100	100%
TC19_k99_4487_fragment_1	31	1	59093	1	100	100%
TC9_NODE_36_length_475522_cov_72.033383_fragment_1	32	2	58928	1	100	100%
TC18_NODE_143_length_13917_cov_1.424728	32	2	13917	0	99.99%	23%
TC43_NODE_105_length_128799_cov_19.322906_fragment_1	33	1	58668	1	100	100%
TC21_NODE_191_length_58548_cov_1.815255	34	1	58548	1	100	100%
TC39_NODE_212_length_58282_cov_3.858052	35	1	58282	1	100	100%
TC29_NODE_105_length_242799_cov_22.456620_fragment_2_1	36	2	57878	1	100	100%
TC25_k99_9085_fragment_1_1	36	2	57878	0	100.00%	100%
TC9_NODE_65_length_284936_cov_15.489672_fragment_3_1	37	1	57588	1	100	100%
TC29_NODE_3_length_2007253_cov_17.942374_fragment_4_1	38	2	57408	1	100	100%
TC25_k99_5937_fragment_4_1	38	2	57408	0	100.00%	100%
TC7_NODE_6_length_676774_cov_6.395213_fragment_6_1	39	1	57392	1	100	100%
TC48_NODE_120_length_57275_cov_4.218538	40	1	57275	1	100	100%
TC33_NODE_49_length_184266_cov_2.241269_fragment_1	41	1	57238	1	100	100%
TC24_NODE_71_length_293574_cov_4.923611_fragment_1_1	42	1	56829	1	100	100%
TC30_NODE_2_length_2539971_cov_38.752415_fragment_24_1	43	1	56565	1	100	100%
TC23_NODE_18_length_579483_cov_3.554424_fragment_3_1	44	1	56212	1	100	100%
TC29_NODE_2_length_2015733_cov_3.617248_fragment_1	45	2	53437	1	100	100%
TC25_k99_9628	45	2	21589	0	100.00%	40%
TC21_NODE_202_length_53415_cov_6.288489	46	1	53415	1	100	100%
TC21_NODE_203_length_53367_cov_5.498385	47	1	53367	1	100	100%
TC21_NODE_49_length_218453_cov_187.899655_fragment_2	48	1	53272	1	100	100%
TC47_NODE_43_length_194831_cov_38.586357_fragment_5_1	49	1	52750	1	100	100%
TC2_NODE_21_length_671873_cov_26.916482_fragment_7	50	1	52691	1	100	100%
TC6_NODE_124_length_52400_cov_14.404090	51	1	52400	1	100	100%
TC7_NODE_45_length_279079_cov_14.006127_fragment_2	52	2	52178	1	100	100%
TC21_NODE_91_length_137763_cov_3.812164_fragment_2	52	2	52178	0	100.00%	100%
TC44_NODE_4_length_2252506_cov_13.870450_fragment_12	53	1	51931	1	100	100%
TC9_NODE_301_length_51877_cov_2.200715	54	1	51877	1	100	100%
TC19_k99_38087_fragment_9	55	1	51656	1	100	100%
TC24_NODE_10_length_881981_cov_5.334318_fragment_3	56	1	51570	1	100	100%
TC31_NODE_13_length_671382_cov_7.418716_fragment_1	57	1	51562	1	100	100%
TC8_NODE_28_length_293100_cov_2.336639_fragment_1	58	1	51453	1	100	100%
TC22_k99_23362_fragment_1	59	1	50810	1	100	100%
TC9_NODE_132_length_115497_cov_69.713790_fragment_1	60	4	50804	1	100	100%
TC18_NODE_91_length_37957_cov_1.264684	60	4	37957	0	99.99%	74%
TC18_NODE_201_length_9948_cov_1.419815	60	4	9948	0	100.00%	19%
TC22_k99_5978	60	4	5893	0	99.98%	11%
TC12_NODE_174_length_50166_cov_41.372330	61	1	50166	1	100	100%
TC22_k99_11250_fragment_1_1	62	1	50133	1	100	100%
TC6_NODE_8_length_890968_cov_10.489581_fragment_11	63	1	50125	1	100	100%
TC32_NODE_5_length_1149355_cov_47.716533_fragment_3_1	64	1	50045	1	100	100%
TC7_NODE_2_length_1407101_cov_253.573458_fragment_16_1	65	1	49960	1	100	100%
TC43_NODE_29_length_394088_cov_19.543262_fragment_4	66	3	49490	1	100	100%
TC29_NODE_51_length_394104_cov_17.550788_fragment_4	66	3	49490	0	100.00%	100%
TC32_NODE_96_length_250252_cov_7.117757_fragment_3	66	3	49490	0	100.00%	100%
TC44_NODE_7_length_1694277_cov_17.567553_fragment_23	67	1	49104	1	100	100%
TC48_NODE_4_length_1260246_cov_92.341503_fragment_13	68	1	48698	1	100	100%
TC14_NODE_114_length_86653_cov_1.586783_fragment_1	69	1	48525	1	100	100%
TC19_k99_24071_1	70	1	48429	1	100	100%
TC46_NODE_25_length_217657_cov_11.547033_fragment_1	71	1	48068	1	100	100%
TC4_NODE_35_length_71548_cov_19.897915_fragment_1	72	1	47915	1	100	100%
TC5_NODE_5_length_1406465_cov_12.571004_fragment_19	73	1	47353	1	100	100%
TC42_NODE_259_length_47336_cov_2.494588	74	1	47336	1	100	100%
TC25_k99_10197_fragment_1	75	2	47022	1	100	100%
TC29_NODE_84_length_305247_cov_6.745621_fragment_1	75	2	43450	0	100.00%	92%
TC24_NODE_86_length_236796_cov_28.047412_fragment_1_1	76	1	46674	1	100	100%
TC21_NODE_200_length_53911_cov_2.816209_1	77	1	46602	1	100	100%
TC26_NODE_150_length_46344_cov_163.924941	78	1	46344	1	100	100%
TC44_NODE_3_length_2613225_cov_18.249420_fragment_14_1	79	1	46273	1	100	100%
TC8_NODE_17_length_406625_cov_8.470312_fragment_2	80	1	46132	1	100	100%
TC29_NODE_97_length_273785_cov_2.597951_fragment_1	81	1	46095	1	100	100%
TC29_NODE_28_length_626913_cov_6.440319_fragment_4_1	82	2	45758	1	100	100%
TC25_k99_10547_fragment_1_1	82	2	45674	0	100.00%	99%
TC20_NODE_8_length_1091970_cov_6.985938_fragment_4	83	1	45654	1	100	100%
TC10_NODE_14_length_440668_cov_4.130989_fragment_6	84	1	45449	1	100	100%
TC2_NODE_65_length_339340_cov_62.307927_fragment_2	85	1	45353	1	100	100%
TC2_NODE_24_length_624035_cov_3.299982_fragment_8	86	1	45274	1	100	100%
TC50_NODE_7_length_404903_cov_219.973412_fragment_2_1	87	1	45253	1	100	100%
TC41_NODE_187_length_45232_cov_35.375790	88	1	45232	1	100	100%
TC24_NODE_13_length_775049_cov_10.842307_fragment_1_1	89	1	45225	1	100	100%
TC13_NODE_21_length_324279_cov_10.978198_fragment_2	90	3	45163	1	100	100%
TC6_NODE_25_length_324279_cov_99.614125_fragment_3	90	3	44048	0	100.00%	97%
TC50_NODE_14_length_229535_cov_3.713253_fragment_3	90	3	44048	0	100.00%	97%
TC32_NODE_43_length_498111_cov_10.817655_fragment_3_1	91	1	44824	1	100	100%
TC29_NODE_3_length_2007253_cov_17.942374_fragment_5	92	2	44707	1	100	100%
TC25_k99_2613_fragment_1	92	2	44707	0	100.00%	100%
TC29_NODE_236_length_94821_cov_12.473346_fragment_1_1	93	1	44669	1	100	100%
TC29_NODE_50_length_396606_cov_1.837843_fragment_5	94	1	44653	1	100	100%
TC25_k99_10258_fragment_22	95	1	44581	1	100	100%
TC16_NODE_35_length_169955_cov_19.238512_fragment_2	96	2	44559	1	100	100%
TC7_NODE_609_length_8493_cov_1.230337	96	2	8493	0	99.98%	19%
TC44_NODE_27_length_518998_cov_4.360797_fragment_5	97	1	44518	1	100	100%
TC48_NODE_68_length_100714_cov_2.707149_fragment_1	98	1	44369	1	100	100%
TC43_NODE_127_length_104960_cov_2.160732_fragment_1_1	99	1	44247	1	100	100%
TC16_NODE_19_length_312191_cov_19.359852_fragment_2	100	1	44233	1	100	100%
TC6_NODE_8_length_890968_cov_10.489581_fragment_14	101	1	43935	1	100	100%
TC21_NODE_18_length_396771_cov_6.479846_fragment_5	102	1	43910	1	100	100%
TC21_NODE_65_length_186223_cov_6.252418_fragment_1_1	103	1	43605	1	100	100%
TC18_NODE_3_length_923199_cov_12.620061_fragment_3_1	104	1	43530	1	100	100%
TC21_NODE_5_length_839839_cov_12.217828_fragment_4	105	1	43475	1	100	100%
TC2_NODE_71_length_320446_cov_3.268208_fragment_1	106	1	43319	1	100	100%
TC45_NODE_40_length_342080_cov_15.171442_fragment_3	107	1	43303	1	100	100%
TC21_NODE_44_length_237384_cov_5.080967_fragment_2	108	1	42801	1	100	100%
TC5_NODE_144_length_42759_cov_49.104569	109	1	42759	1	100	100%
TC11_NODE_166_length_108332_cov_2.956693_fragment_1_1	110	1	42653	1	100	100%
TC12_NODE_31_length_298929_cov_2.733697_fragment_1	111	1	42495	1	100	100%
TC2_NODE_409_length_42410_cov_149.154365	112	1	42410	1	100	100%
TC20_NODE_35_length_234509_cov_32.817507_fragment_3	113	1	42408	1	100	100%
TC38_NODE_54_length_102780_cov_15.580051_fragment_1_1	114	1	42336	1	100	100%
TC20_NODE_15_length_700655_cov_223.695464_fragment_10	115	1	42304	1	100	100%
TC29_NODE_12_length_976053_cov_17.804172_fragment_16_1	116	1	42261	1	100	100%
TC36_NODE_55_length_203084_cov_8.262942_fragment_1	117	1	42130	1	100	100%
TC11_NODE_6_length_890872_cov_11.620703_fragment_3	118	1	42126	1	100	100%
TC29_NODE_2_length_2015733_cov_3.617248_fragment_26	119	2	42059	1	100	100%
TC25_k99_9818	119	2	8877	0	100.00%	21%
TC21_NODE_229_length_45088_cov_6.685527_1	120	1	41992	1	100	100%
TC11_NODE_20_length_389567_cov_2.337559_fragment_4	121	1	41970	1	100	100%
TC19_k99_9812_fragment_1	122	1	41726	1	100	100%
TC11_NODE_20_length_389567_cov_2.337559_fragment_2_1	123	1	41704	1	100	100%
TC24_NODE_271_length_41493_cov_551.294783	124	1	41493	1	100	100%
TC43_NODE_16_length_550297_cov_19.799362_fragment_2	125	1	41419	1	100	100%
TC22_k99_29245_fragment_5_1	126	1	41404	1	100	100%
TC39_NODE_13_length_671287_cov_7.523416_fragment_7	127	1	41219	1	100	100%
TC16_NODE_28_length_243043_cov_80.738576_fragment_3	128	2	41202	1	100	100%
TC47_NODE_36_length_243073_cov_5.582804_fragment_1	128	2	39009	0	100.00%	94%
TC9_NODE_317_length_47598_cov_3.657791_1	129	1	41097	1	100	100%
TC11_NODE_241_length_75048_cov_3.418734_fragment_1_1	130	1	41090	1	100	100%
TC1_NODE_338_length_41068_cov_10.513446	131	1	41068	1	100	100%
TC28_NODE_49_length_112296_cov_1.963368_fragment_1_1	132	1	41051	1	100	100%
TC9_NODE_22_length_662371_cov_71.591452_fragment_7	133	1	40886	1	100	100%
TC4_NODE_3_length_833065_cov_20.884863_fragment_4	134	1	40871	1	100	100%
TC1_NODE_59_length_475188_cov_8.064007_fragment_6_1	135	1	40847	1	100	100%
TC25_k99_2964	136	2	40736	1	100	100%
TC29_NODE_165_length_145730_cov_6.270455_fragment_1_1	136	2	40610	0	99.65%	99%
TC11_NODE_11_length_500533_cov_12.151295_fragment_6_1	137	1	40697	1	100	100%
TC12_NODE_5_length_1359165_cov_50.766149_fragment_20	138	1	40502	1	100	100%
TC1_NODE_341_length_40417_cov_176.687640	139	1	40417	1	100	100%
TC39_NODE_17_length_560322_cov_15.182160_fragment_8	140	1	40253	1	100	100%
TC11_NODE_424_length_40160_cov_12.293758	141	1	40160	1	100	100%
TC11_NODE_10_length_508707_cov_5.912515_fragment_2	142	1	40150	1	100	100%
TC23_NODE_26_length_409670_cov_6.281934_fragment_3	143	1	40082	1	100	100%
TC16_NODE_14_length_415217_cov_19.321309_fragment_3	144	3	40042	1	100	100%
TC7_NODE_661_length_6907_cov_1.424189	144	3	6907	0	100.00%	17%
TC7_NODE_663_length_6865_cov_1.287326	144	3	6865	0	100.00%	17%
TC45_NODE_65_length_221895_cov_88.612577_fragment_3	145	1	40028	1	100	100%
TC25_k99_4860_fragment_4_1	146	1	39959	1	100	100%
TC2_NODE_157_length_151302_cov_49.954106_fragment_2	147	1	39723	1	100	100%
TC19_k99_28466_fragment_2	148	1	39654	1	100	100%
TC26_NODE_61_length_118463_cov_9.535391_fragment_2_1	149	1	39589	1	100	100%
TC39_NODE_114_length_95379_cov_1.573269_fragment_2	150	1	39537	1	100	100%
TC39_NODE_52_length_196619_cov_8.159034_fragment_1_1	151	1	39504	1	100	100%
TC8_NODE_71_length_156221_cov_8.690571_fragment_1	152	1	39439	1	100	100%
TC2_NODE_222_length_99539_cov_64.537752_fragment_1	153	1	39388	1	100	100%
TC30_NODE_47_length_154128_cov_1.918189_fragment_2_1	154	1	39327	1	100	100%
TC45_NODE_99_length_133277_cov_93.720120_fragment_3_1	155	1	39150	1	100	100%
TC29_NODE_5_length_1823148_cov_2.889292_fragment_5_1	156	1	39082	1	100	100%
TC2_NODE_19_length_687920_cov_7.213556_fragment_7_1	157	1	39077	1	100	100%
TC21_NODE_10_length_663821_cov_141.374759_fragment_2	158	1	39033	1	100	100%
TC1_NODE_41_length_577301_cov_7.965251_fragment_1	159	1	38979	1	100	100%
TC8_NODE_37_length_248517_cov_8.354849_fragment_1_1	160	1	38922	1	100	100%
TC22_k99_27017_fragment_1_1	161	1	38794	1	100	100%
TC32_NODE_118_length_192110_cov_11.285197_fragment_2	162	1	38768	1	100	100%
TC44_NODE_117_length_135596_cov_13.031535_fragment_1	163	1	38663	1	100	100%
TC29_NODE_252_length_87617_cov_18.550006_fragment_1_1	164	2	38595	1	100	100%
TC25_k99_8994_fragment_1_1	164	2	38568	0	100.00%	99%
TC31_NODE_79_length_218616_cov_2.447171_fragment_3	165	1	38551	1	100	100%
TC2_NODE_123_length_183909_cov_62.720560_fragment_2	166	1	38432	1	100	100%
TC2_NODE_129_length_178198_cov_4.280950_fragment_2_1	167	1	38375	1	100	100%
TC29_NODE_42_length_439594_cov_6.338911_fragment_5	168	1	38351	1	100	100%
TC38_NODE_58_length_85867_cov_15.317180_fragment_1	169	1	38289	1	100	100%
TC46_NODE_4_length_2196845_cov_30.805628_fragment_18_1	170	1	38277	1	100	100%
TC12_NODE_5_length_1359165_cov_50.766149_fragment_17	171	1	38241	1	100	100%
TC21_NODE_71_length_174740_cov_3.156449_fragment_1_1	172	1	38004	1	100	100%
TC9_NODE_76_length_230538_cov_3.780197_fragment_1	173	1	37929	1	100	100%
TC32_NODE_29_length_671025_cov_11.157456_fragment_6	174	1	37876	1	100	100%
TC31_NODE_195_length_37807_cov_6.174443	175	1	37807	1	100	100%
TC5_NODE_160_length_37759_cov_170.937739	176	1	37759	1	100	100%
TC14_NODE_65_length_140383_cov_1.895035_fragment_3	177	1	37734	1	100	100%
TC42_NODE_307_length_37584_cov_1.163387	178	1	37584	1	100	100%
TC39_NODE_3_length_960438_cov_15.498144_fragment_14	179	1	37543	1	100	100%
TC14_NODE_143_length_70753_cov_1.591963_fragment_2	180	1	37465	1	100	100%
TC24_NODE_44_length_384373_cov_2.324318_fragment_6	181	1	37259	1	100	100%
TC11_NODE_8_length_582147_cov_12.459319_fragment_8_1	182	1	37241	1	100	100%
TC21_NODE_270_length_37224_cov_6.112974	183	1	37224	1	100	100%
TC9_NODE_61_length_299985_cov_3.877866_fragment_6	184	1	37195	1	100	100%
TC38_NODE_66_length_66852_cov_1.404361_fragment_1_1	185	1	37088	1	100	100%
TC44_NODE_11_length_806169_cov_2.790758_fragment_4	186	1	37037	1	100	100%
TC46_NODE_238_length_36911_cov_1.610102	187	1	36911	1	100	100%
TC8_NODE_11_length_504904_cov_8.476547_fragment_3	188	1	36876	1	100	100%
TC2_NODE_145_length_164318_cov_63.382829_fragment_2	189	1	36633	1	100	100%
TC23_NODE_11_length_907578_cov_93.829391_fragment_3_1	190	1	36469	1	100	100%
TC32_NODE_249_length_59089_cov_1.993742_fragment_1	191	1	36362	1	100	100%
TC29_NODE_71_length_348880_cov_7.195720_fragment_2	192	1	36331	1	100	100%
TC38_NODE_91_length_43616_cov_15.600428_1	193	1	36281	1	100	100%
TC11_NODE_81_length_177607_cov_2.780341_fragment_1	194	1	36236	1	100	100%
TC2_NODE_112_length_196170_cov_3.920839_fragment_2_1	195	1	36217	1	100	100%
TC19_k99_37223_1	196	1	36113	1	100	100%
TC6_NODE_2_length_1190736_cov_102.465352_fragment_5	197	3	35966	1	100	100%
TC31_NODE_16_length_621533_cov_2.524435_fragment_5	197	3	35966	0	100.00%	100%
TC13_NODE_8_length_701935_cov_11.363343_fragment_5	197	3	35966	0	100.00%	100%
TC25_k99_9448_fragment_1_1	198	2	35903	1	100	100%
TC29_NODE_76_length_342196_cov_18.142620_fragment_2_1	198	2	35903	0	100.00%	100%
TC29_NODE_17_length_794707_cov_3.780953_fragment_2_1	199	3	35845	1	100	100%
TC25_k99_1821	199	3	9859	0	100.00%	27%
TC25_k99_1342	199	3	6429	0	100.00%	17%
TC1_NODE_107_length_274714_cov_54.187747_fragment_4	200	1	35831	1	100	100%
TC5_NODE_164_length_35650_cov_1.820314	201	1	35650	1	100	100%
TC9_NODE_7_length_1394600_cov_14.790398_fragment_14_1	202	1	35450	1	100	100%
TC32_NODE_62_length_383417_cov_7.033069_fragment_2	203	3	35211	1	100	100%
TC29_NODE_56_length_383418_cov_17.951194_fragment_7_1	203	3	26278	0	100.00%	74%
TC43_NODE_30_length_383417_cov_19.387498_fragment_7_1	203	3	26278	0	100.00%	74%
TC5_NODE_5_length_1406465_cov_12.571004_fragment_11	204	1	34882	1	100	100%
TC28_NODE_16_length_478234_cov_6.417026_fragment_3_1	205	1	34815	1	100	100%
TC8_NODE_39_length_244599_cov_8.800587_fragment_5	206	1	34502	1	100	100%
TC22_k99_3039	207	1	34411	1	100	100%
TC10_NODE_12_length_490842_cov_6.506127_fragment_6_1	208	1	34282	1	100	100%
TC1_NODE_32_length_631580_cov_8.521453_fragment_1_1	209	1	34199	1	100	100%
TC33_NODE_27_length_378717_cov_2.184374_fragment_1	210	1	34161	1	100	100%
TC29_NODE_20_length_734242_cov_6.047160_fragment_11	211	2	34087	1	100	100%
TC25_k99_2767_fragment_1	211	2	13539	0	100.00%	39%
TC21_NODE_16_length_410530_cov_36.647248_fragment_1	212	1	33982	1	100	100%
TC45_NODE_53_length_265857_cov_35.780277_fragment_3	213	1	33862	1	100	100%
TC24_NODE_13_length_775049_cov_10.842307_fragment_8_1	214	1	33747	1	100	100%
TC5_NODE_11_length_598228_cov_12.707847_fragment_8	215	1	33287	1	100	100%
TC6_NODE_16_length_473899_cov_13.755216_fragment_4	216	1	33279	1	100	100%
TC19_k99_29942	217	1	33202	1	100	100%
TC21_NODE_44_length_237384_cov_5.080967_fragment_4	218	1	33015	1	100	100%
TC12_NODE_10_length_626767_cov_51.693888_fragment_6	219	1	32678	1	100	100%
TC31_NODE_11_length_673704_cov_3.303627_fragment_1	220	1	32543	1	100	100%
TC1_NODE_7_length_1551751_cov_58.689835_fragment_13	221	1	32497	1	100	100%
TC6_NODE_24_length_334762_cov_14.643899_fragment_1_1	222	1	32480	1	100	100%
TC21_NODE_268_length_37470_cov_1.600514_1	223	1	32233	1	100	100%
TC36_NODE_45_length_232469_cov_7.710083_fragment_4_1	224	1	32218	1	100	100%
TC2_NODE_33_length_512050_cov_27.166554_fragment_3	225	1	32048	1	100	100%
TC22_k99_6894_fragment_3	226	1	32045	1	100	100%
TC14_NODE_344_length_31888_cov_1.384213	227	1	31888	1	100	100%
TC1_NODE_59_length_475188_cov_8.064007_fragment_2	228	1	31853	1	100	100%
TC22_k99_10815	229	2	31613	1	100	100%
TC11_NODE_881_length_14965_cov_1.812778	229	2	14965	0	99.99%	47%
TC33_NODE_12_length_777431_cov_34.133165_fragment_4	230	1	31533	1	100	100%
TC1_NODE_131_length_232403_cov_5.343049_fragment_2_1	231	1	31420	1	100	100%
TC42_NODE_10_length_1381193_cov_62.080597_fragment_3	232	1	31409	1	100	100%
TC42_NODE_51_length_256701_cov_15.389868_fragment_4	233	1	31376	1	100	100%
TC20_NODE_13_length_845650_cov_3.550050_fragment_7	234	1	31330	1	100	100%
TC42_NODE_125_length_110384_cov_1.626473_fragment_1	235	1	31325	1	100	100%
TC21_NODE_306_length_31271_cov_30.025944	236	2	31271	1	100	100%
TC25_k99_10448	236	2	31215	0	100.00%	99%
TC12_NODE_244_length_31209_cov_39.813365	237	1	31209	1	100	100%
TC30_NODE_164_length_38945_cov_1.826163_1	238	1	31131	1	100	100%
TC11_NODE_478_length_34249_cov_1.798371_1	239	1	31087	1	100	100%
TC7_NODE_4_length_778944_cov_6.565113_fragment_1	240	1	31058	1	100	100%
TC21_NODE_309_length_30984_cov_2.809800	241	1	30984	1	100	100%
TC9_NODE_238_length_65984_cov_2.939445_fragment_1	242	1	30856	1	100	100%
TC16_NODE_143_length_30331_cov_71.106112	243	2	30331	1	100	100%
TC47_NODE_170_length_30331_cov_5.068269	243	2	30331	0	100.00%	100%
TC29_NODE_50_length_396606_cov_1.837843_fragment_6	244	2	30164	1	100	100%
TC25_k99_10258_fragment_21	244	2	30164	0	100.00%	100%
TC7_NODE_241_length_60815_cov_847.333756_fragment_1_1	245	1	30064	1	100	100%
TC23_NODE_19_length_552534_cov_19.632887_fragment_4	246	1	29988	1	100	100%
TC25_k99_8152_fragment_1_1	247	2	29930	1	100	100%
TC36_NODE_1293_length_6635_cov_0.883835	247	2	6635	0	99.83%	22%
TC2_NODE_423_length_39422_cov_64.784425_1	248	1	29878	1	100	100%
TC5_NODE_185_length_29760_cov_1.347720	249	1	29760	1	100	100%
TC37_NODE_6_length_771741_cov_38.645067_fragment_1	250	1	29453	1	100	100%
TC2_NODE_91_length_241635_cov_26.107243_fragment_2_1	251	1	29417	1	100	100%
TC4_NODE_31_length_117274_cov_19.763639_fragment_1_1	252	1	29290	1	100	100%
TC22_k99_7191_fragment_3	253	2	29119	1	100	100%
TC11_NODE_492_length_33086_cov_1.546467_fragment_1	253	2	26232	0	100.00%	90%
TC21_NODE_330_length_28926_cov_1.584673	254	1	28926	1	100	100%
TC22_k99_23993_fragment_4_1	255	1	28797	1	100	100%
TC25_k99_1955_fragment_1	256	1	28774	1	100	100%
TC18_NODE_16_length_258475_cov_12.977008_fragment_1	257	1	28753	1	100	100%
TC2_NODE_207_length_109300_cov_1.932841_fragment_2	258	1	28684	1	100	100%
TC2_NODE_67_length_335913_cov_14.129618_fragment_8	259	1	28614	1	100	100%
TC1_NODE_260_length_81493_cov_3.605916_fragment_1	260	1	28486	1	100	100%
TC19_k99_35266_fragment_10	261	1	28054	1	100	100%
TC29_NODE_12_length_976053_cov_17.804172_fragment_9	262	2	28026	1	100	100%
TC43_NODE_6_length_916318_cov_19.805566_fragment_9	262	2	28026	0	100.00%	100%
TC46_NODE_2_length_2911974_cov_72.510502_fragment_30_1	263	1	27617	1	100	100%
TC29_NODE_42_length_439594_cov_6.338911_fragment_1_1	264	2	27517	1	100	100%
TC25_k99_7339	264	2	6904	0	99.99%	25%
TC16_NODE_159_length_27160_cov_17.922946	265	1	27160	1	100	100%
TC29_NODE_364_length_42087_cov_13.921640_fragment_1	266	1	27136	1	100	100%
TC11_NODE_591_length_27071_cov_1.682675	267	1	27071	1	100	100%
TC44_NODE_4_length_2252506_cov_13.870450_fragment_11	268	1	27063	1	100	100%
TC36_NODE_179_length_40445_cov_1.485441_fragment_1	269	1	26852	1	100	100%
TC10_NODE_31_length_224460_cov_162.784317_fragment_3_1	270	1	26140	1	100	100%
TC44_NODE_32_length_460431_cov_28.341613_fragment_8_1	271	1	26128	1	100	100%
TC6_NODE_154_length_25958_cov_34.872672	272	1	25958	1	100	100%
TC9_NODE_61_length_299985_cov_3.877866_fragment_4	273	1	25906	1	100	100%
TC21_NODE_352_length_25851_cov_4.020487	274	1	25851	1	100	100%
TC19_k99_31888_fragment_1_1	275	1	25521	1	100	100%
TC39_NODE_396_length_29396_cov_1.438792_1	276	1	25485	1	100	100%
TC19_k99_27847_fragment_2	277	1	25409	1	100	100%
TC42_NODE_425_length_25072_cov_1.989577	278	1	25072	1	100	100%
TC12_NODE_60_length_188617_cov_283.509714_fragment_3	279	1	25018	1	100	100%
TC34_NODE_97_length_24917_cov_420.315732	280	1	24917	1	100	100%
TC29_NODE_47_length_416090_cov_2.838178_fragment_4_1	281	1	24836	1	100	100%
TC2_NODE_33_length_512050_cov_27.166554_fragment_1	282	1	24831	1	100	100%
TC9_NODE_9_length_1201113_cov_15.041872_fragment_24	283	1	24778	1	100	100%
TC47_NODE_67_length_134637_cov_5.871103_fragment_1	284	2	24566	1	100	100%
TC16_NODE_49_length_134977_cov_80.203278_fragment_1	284	2	24566	0	100.00%	100%
TC10_NODE_50_length_136832_cov_6.345503_fragment_1	285	1	24513	1	100	100%
TC43_NODE_250_length_24450_cov_17.771040	286	1	24450	1	100	100%
